Contiguous U.S., Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195007,263,-52
195107,314,-1
195207,355,40
195307,330,15
195407,349,34
195507,362,47
195607,292,-23
195707,328,13
195807,308,-7
195907,319,4
196007,298,-17
196107,300,-15
196207,275,-40
196307,302,-13
196407,322,7
196507,278,-37
196607,344,29
196707,277,-38
196807,300,-15
196907,330,15
197007,317,2
197107,285,-30
197207,295,-20
197307,313,-2
197407,311,-4
197507,295,-20
197607,281,-34
197707,347,32
197807,311,-4
197907,293,-22
198007,372,57
198107,330,15
198207,313,-2
198307,344,29
198407,292,-23
198507,312,-3
198607,338,23
198707,329,14
198807,356,41
198907,314,-1
199007,315,0
199107,333,18
199207,288,-27
199307,342,27
199407,325,10
199507,345,30
199607,306,-9
199707,314,-1
199807,353,38
199907,367,52
200007,290,-25
200107,306,-9
200207,365,50
200307,335,20
200407,297,-18
200507,367,52
200607,383,68
200707,308,-7
200807,331,16
200907,286,-29
201007,375,60
201107,404,89
201207,401,86
201307,337,22
201407,298,-17
201507,333,18
201607,381,66
201707,359,44
201807,372,57
201907,370,55
202007,394,79
202107,344,29
