Contiguous U.S., Heating Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
195007,14,5
195107,9,0
195207,6,-3
195307,7,-2
195407,10,1
195507,10,1
195607,13,4
195707,9,0
195807,10,1
195907,7,-2
196007,10,1
196107,7,-2
196207,17,8
196307,11,2
196407,7,-2
196507,13,4
196607,8,-1
196707,10,1
196807,8,-1
196907,10,1
197007,6,-3
197107,12,3
197207,10,1
197307,8,-1
197407,8,-1
197507,7,-2
197607,10,1
197707,8,-1
197807,9,0
197907,9,0
198007,7,-2
198107,8,-1
198207,10,1
198307,8,-1
198407,9,0
198507,6,-3
198607,12,3
198707,10,1
198807,4,-5
198907,7,-2
199007,7,-2
199107,7,-2
199207,17,8
199307,15,6
199407,7,-2
199507,6,-3
199607,10,1
199707,10,1
199807,5,-4
199907,7,-2
200007,13,4
200107,10,1
200207,3,-6
200307,5,-4
200407,9,0
200507,4,-5
200607,3,-6
200707,6,-3
200807,6,-3
200907,15,6
201007,6,-3
201107,7,-2
201207,4,-5
201307,5,-4
201407,10,1
201507,6,-3
201607,5,-4
201707,5,-4
201807,3,-6
201907,5,-4
202007,4,-5
202107,4,-5
